event_id,fight_id,date,location,winner,winner_id
6e380a4d73ab4f0e,5bcd8abf6da01dae,"September 06, 2025","Paris, Ile-de-France, France",Nassourdine Imavov,881bf86d4cba8578
6e380a4d73ab4f0e,d14fea43712707f0,"September 06, 2025","Paris, Ile-de-France, France",Benoit Saint Denis,c2299ec916bc7c56
6e380a4d73ab4f0e,0149e875b31e57f8,"September 06, 2025","Paris, Ile-de-France, France",Modestas Bukauskas,476fe566d2df676e
6e380a4d73ab4f0e,69b31593175f77ec,"September 06, 2025","Paris, Ile-de-France, France",Mason Jones,f6ad6a1e4d600e0d
6e380a4d73ab4f0e,a47123ae6e048f11,"September 06, 2025","Paris, Ile-de-France, France",Axel Sola,1d2d98ddd05b38fb
6e380a4d73ab4f0e,b53031bf4bd0a330,"September 06, 2025","Paris, Ile-de-France, France",William Gomis,e1d40e8782d80bc2
6e380a4d73ab4f0e,4080b4310d82b42d,"September 06, 2025","Paris, Ile-de-France, France",Oumar Sy,46e2011d92463b7e
6e380a4d73ab4f0e,23dbe713c4294c66,"September 06, 2025","Paris, Ile-de-France, France",Ante Delija,7d8435c56043b0ae
6e380a4d73ab4f0e,5cd2dd6075fadcce,"September 06, 2025","Paris, Ile-de-France, France",Kaue Fernandes,ec13c393d029297d
6e380a4d73ab4f0e,420211200a35c1d1,"September 06, 2025","Paris, Ile-de-France, France",Sam Patterson,8b6e5dc2ba1edbe7
6e380a4d73ab4f0e,b3253e2c2d111030,"September 06, 2025","Paris, Ile-de-France, France",Robert Bryczek,f96856f9d69fd7e4
6e380a4d73ab4f0e,d56a59a4c79cf515,"September 06, 2025","Paris, Ile-de-France, France",Rinat Fakhretdinov,8f765fd5775a8873
6e380a4d73ab4f0e,a38010639e61885c,"September 06, 2025","Paris, Ile-de-France, France",Sam Hughes,e94085e821bd81de
754968e325d6f60d,2eecf0c36192e40c,"August 23, 2025","Shanghai, Hebei, China",Johnny Walker,c21f26bbde777573
754968e325d6f60d,58080e8989927500,"August 23, 2025","Shanghai, Hebei, China",Aljamain Sterling,cb696ebfb6598724
754968e325d6f60d,5538d15c4eeac3b3,"August 23, 2025","Shanghai, Hebei, China",Sergei Pavlovich,f14cf73e51b29254
754968e325d6f60d,ce6bd165bef82bd7,"August 23, 2025","Shanghai, Hebei, China",Sumudaerji,3cf18e01cb6cbde3
754968e325d6f60d,1452c20d964c0a63,"August 23, 2025","Shanghai, Hebei, China",Taiyilake Nueraji,7498b3ac79a3b948
754968e325d6f60d,0b1460c666e66d39,"August 23, 2025","Shanghai, Hebei, China",Gauge Young,b2a78df161bd67f9
754968e325d6f60d,1ab1ed99a4bc5494,"August 23, 2025","Shanghai, Hebei, China",Charles Johnson,814e5233e2acf2ee
754968e325d6f60d,f55749e32ce5c6f3,"August 23, 2025","Shanghai, Hebei, China",Rongzhu,a13d755965a4ec9f
754968e325d6f60d,130e622d4d2aee3e,"August 23, 2025","Shanghai, Hebei, China",Kyle Daukaus,d6c0cdd7e467c440
754968e325d6f60d,f0b7caa90faf47e5,"August 23, 2025","Shanghai, Hebei, China",Yizha,3f11fd1751fa83b1
754968e325d6f60d,2f6065fe0804d1d8,"August 23, 2025","Shanghai, Hebei, China",SuYoung You,a474aade8eb3a8f0
754968e325d6f60d,7fc5f1dc2df84ac7,"August 23, 2025","Shanghai, Hebei, China",Uran Satybaldiev,02f484417a6fa69d
421ccfc6ddb17958,12cedec11b37ddc0,"August 16, 2025","Chicago, Illinois, USA",Khamzat Chimaev,767755fd74662dbf
421ccfc6ddb17958,9fa6a029f7f8241c,"August 16, 2025","Chicago, Illinois, USA",Lerone Murphy,396fe87b84ac2e1c
